DOMAIN,NAMESERVER,TYPE,REASON,PROVIDER,DEPENDENCY,REDUNDANT,ENTITY_COUNT
cdnhwc1.com,ns3.huaweicloud-dns.com,third,SOA mname points to third party: hwclouds,hwclouds,Critical dependency,False,1
cdnhwc1.com,ns3.huaweicloud-dns.cn,third,SOA mname points to third party: hwclouds,hwclouds,Critical dependency,False,1
cdnvideo.net,ns009.cdnvideo.net,private,NS TLD matches domain TLD,cdnvideo.net,Critical dependency,False,1
cdnvideo.net,ns060.cdnvideo.net,private,NS TLD matches domain TLD,cdnvideo.net,Critical dependency,False,1
cdnvideo.net,ns008.cdnvideo.net,private,NS TLD matches domain TLD,cdnvideo.net,Critical dependency,False,1
cdnvideo.net,ns007.cdnvideo.net,private,NS TLD matches domain TLD,cdnvideo.net,Critical dependency,False,1
cdnvideo.net,ns006.cdnvideo.net,private,NS TLD matches domain TLD,cdnvideo.net,Critical dependency,False,1
chuangcdn.com,ns1.chuangcdn.com,private,NS TLD matches domain TLD,chuangcdn.com,Critical dependency,False,1
chuangcdn.com,ns2.chuangcdn.com,private,NS TLD matches domain TLD,chuangcdn.com,Critical dependency,False,1
cloudflare.net,ns4.cloudflare.net,private,NS TLD matches domain TLD,cloudflare.net,Critical dependency,False,1
cloudflare.net,ns5.cloudflare.net,private,NS TLD matches domain TLD,cloudflare.net,Critical dependency,False,1
cloudflare.net,ns1.cloudflare.net,private,NS TLD matches domain TLD,cloudflare.net,Critical dependency,False,1
cloudflare.net,ns3.cloudflare.net,private,NS TLD matches domain TLD,cloudflare.net,Critical dependency,False,1
cloudflare.net,ns2.cloudflare.net,private,NS TLD matches domain TLD,cloudflare.net,Critical dependency,False,1
cloudfront.net,ns-1306.awsdns-35.org,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
cloudfront.net,ns-418.awsdns-52.com,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
cloudfront.net,ns-1597.awsdns-07.co.uk,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
cloudfront.net,ns-666.awsdns-19.net,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
cloudinary.net,ns-1128.awsdns-13.org,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
cloudinary.net,ns-921.awsdns-51.net,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
cloudinary.net,ns-1899.awsdns-45.co.uk,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
cloudinary.net,ns-191.awsdns-23.com,third,SOA mname points to third party: aws,aws,No critical dependency,False,1
criteo.net,ns1.criteo.com,private,"Domanin name is contained in the nameserver, signaling ownership",criteo.com,Critical dependency,False,1
criteo.net,ns2.criteo.com,private,"Domanin name is contained in the nameserver, signaling ownership",criteo.com,Critical dependency,False,1
digicertdns.net,ns10.dnsmadeeasy.com,third,SOA mname points to third party: dnsmadeeasy,dnsmadeeasy,Critical dependency,False,1
digicertdns.net,ns11.dnsmadeeasy.com,third,SOA mname points to third party: dnsmadeeasy,dnsmadeeasy,Critical dependency,False,1
digicertdns.net,ns15.dnsmadeeasy.com,third,SOA mname points to third party: dnsmadeeasy,dnsmadeeasy,Critical dependency,False,1
digicertdns.net,ns13.dnsmadeeasy.com,third,SOA mname points to third party: dnsmadeeasy,dnsmadeeasy,Critical dependency,False,1
digicertdns.net,ns14.dnsmadeeasy.com,third,SOA mname points to third party: dnsmadeeasy,dnsmadeeasy,Critical dependency,False,1
digicertdns.net,ns12.dnsmadeeasy.com,third,SOA mname points to third party: dnsmadeeasy,dnsmadeeasy,Critical dependency,False,1
digitaloceanspaces.com,kim.ns.cloudflare.com,third,SOA mname points to third party: cloudflare,cloudflare,Critical dependency,False,1
digitaloceanspaces.com,walt.ns.cloudflare.com,third,SOA mname points to third party: cloudflare,cloudflare,Critical dependency,False,1
discordapp.net,gabe.ns.cloudflare.com,third,SOA mname points to third party: cloudflare,cloudflare,Critical dependency,False,1
discordapp.net,sima.ns.cloudflare.com,third,SOA mname points to third party: cloudflare,cloudflare,Critical dependency,False,1
dmcdn.net,a.dailymotion.com,third,SOA mname points to third party: dailymotion,dailymotion,Critical dependency,False,1
dmcdn.net,b.dailymotion.com,third,SOA mname points to third party: dailymotion,dailymotion,Critical dependency,False,1
elemecdn.com,ns1.alibabadns.com,third,SOA mname points to third party: alibaba,alibaba,Critical dependency,False,1
elemecdn.com,ns2.alibabadns.com,third,SOA mname points to third party: alibaba,alibaba,Critical dependency,False,1
