website,cdns,cdn_types,uses_third_party,critical_dependency,redundant,mult_third,step_id
dns.google,google,"{""google"": ""private""}",False,False,False,False,"step 1, "
dns4me.net,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
dnsexit.com,twitter,"{""twitter"": ""private""}",False,False,False,False,"step 6, "
dnsmadeeasy.com,fastly,"{""fastly"": ""private""}",False,False,False,False,"step 7, "
dnsv1.com,tencent,"{""tencent"": ""private""}",False,False,False,False,"step 2, "
dnswarden.com,cloudflare|fastly,"{""cloudflare"": ""private"", ""fastly"": ""private""}",False,False,True,False,"step 5 (SOA), step 7, "
docaccess.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
docgenie.in,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
doctolib.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
doctoralia.com.mx,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
documentsdelivered.com,microsoft|cloudflare,"{""microsoft"": ""private"", ""cloudflare"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
dodois.com,microsoft,"{""microsoft"": ""private""}",False,False,False,False,"step 5 (SOA), "
dodopizza.com,microsoft,"{""microsoft"": ""private""}",False,False,False,False,"step 5 (SOA), "
dodopizza.ru,microsoft,"{""microsoft"": ""private""}",False,False,False,False,"step 5 (SOA), "
doggtreats.com,google,"{""google"": ""private""}",False,False,False,False,"step 5 (SOA), "
dohalist.com,cloudflare|twitter,"{""cloudflare"": ""private"", ""twitter"": ""private""}",False,False,True,False,"step 5 (SOA), step 6, "
dollopsdigital.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
dolphin-emu.org,bunnycdn,"{""bunnycdn"": ""private""}",False,False,False,False,"step 5 (SOA), "
dome9.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
domestika.org,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
domodi.pl,microsoft,"{""microsoft"": ""private""}",False,False,False,False,"step 5 (SOA), "
dopalive.com,microsoft|amazon,"{""microsoft"": ""private"", ""amazon"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
doppiocdn.live,microsoft|cloudflare,"{""microsoft"": ""private"", ""cloudflare"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
doramalives.news,microsoft|cloudflare,"{""microsoft"": ""private"", ""cloudflare"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
dorkhost.com,twitter,"{""twitter"": ""private""}",False,False,False,False,"step 6, "
dotit.com,amazon|twitter,"{""amazon"": ""private"", ""twitter"": ""private""}",False,False,True,False,"step 5 (SOA), step 6, "
doubleclick-cn.net,google,"{""google"": ""private""}",False,False,False,False,"step 3, "
doubleclick.com,google,"{""google"": ""private""}",False,False,False,False,"step 3, "
doubleclick.net,google,"{""google"": ""private""}",False,False,False,False,"step 3, "
doubleclickbygoogle.com,google,"{""google"": ""private""}",False,False,False,False,"step 3, "
dovetail.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
dovetailchaos.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
doxxbet.sk,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
dp-ca-01.live,microsoft|gcore,"{""microsoft"": ""private"", ""gcore"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
dp-de-01.live,microsoft|gcore,"{""microsoft"": ""private"", ""gcore"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
dp-es-01.live,microsoft|gcore,"{""microsoft"": ""private"", ""gcore"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
dp-hu-01.live,microsoft|gcore,"{""microsoft"": ""private"", ""gcore"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
dp-pl-01.live,microsoft|gcore,"{""microsoft"": ""private"", ""gcore"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
dp-tr-01.live,microsoft|gcore,"{""microsoft"": ""private"", ""gcore"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
dpa-sportslive.com,microsoft|cloudflare,"{""microsoft"": ""private"", ""cloudflare"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
dps.live,microsoft,"{""microsoft"": ""private""}",False,False,False,False,"step 3, "
dramarushbingeshort.com,microsoft|amazon,"{""microsoft"": ""private"", ""amazon"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
dramasfree.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
drawdeliver.de,microsoft|cloudflare,"{""microsoft"": ""private"", ""cloudflare"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
dream-singles.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
dreammu.live,microsoft,"{""microsoft"": ""private""}",False,False,False,False,"step 3, "
dreamstime.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
dreamvisioncreations.com,google,"{""google"": ""private""}",False,False,False,False,"step 5 (SOA), "
driftpixel.live,microsoft|cloudflare,"{""microsoft"": ""private"", ""cloudflare"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
drikpanchang.com,google,"{""google"": ""private""}",False,False,False,False,"step 5 (SOA), "
drive-glicloudccp.com,apple,"{""apple"": ""private""}",False,False,False,False,"step 3, "
drive2.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
driverpack.io,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
drmtoday.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
droicloud.com,apple,"{""apple"": ""private""}",False,False,False,False,"step 3, "
drp.su,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
drpc.live,microsoft|amazon,"{""microsoft"": ""private"", ""amazon"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
drtuber.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
drugvokrug.ru,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
drupalcode.org,digicert,"{""digicert"": ""private""}",False,False,False,False,"step 5 (SOA), "
ds77.de,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
dscgirls.live,microsoft|cloudflare,"{""microsoft"": ""private"", ""cloudflare"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
dssott.com,telegram,"{""telegram"": ""private""}",False,False,False,False,"step 6, "
dtf.ru,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
dtn.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 7, "
dual-s-dc-msedge.net,microsoft,"{""microsoft"": ""private""}",False,False,False,False,"step 3, "
dual-s-msedge.net,microsoft,"{""microsoft"": ""private""}",False,False,False,False,"step 3, "
duapps.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
dubbing.tech,microsoft,"{""microsoft"": ""private""}",False,False,False,False,"step 3, "
dubbingai.io,microsoft|cloudflare,"{""microsoft"": ""private"", ""cloudflare"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
duddino.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
duetapp.net,google,"{""google"": ""private""}",False,False,False,False,"step 5 (SOA), "
dune-project.org,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
dwphonetest.com,twitter,"{""twitter"": ""private""}",False,False,False,False,"step 6, "
dxdelivery.com,microsoft|amazon,"{""microsoft"": ""private"", ""amazon"": ""third""}",True,False,True,False,"step 3, step 6, "
dxlive.com,microsoft|cloudflare,"{""microsoft"": ""private"", ""cloudflare"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
dynabic.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
dynamic.ooo,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 7, "
dynamics.com,microsoft,"{""microsoft"": ""private""}",False,False,False,False,"step 5 (SOA), "
e-apteka.com.ua,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
e-dc-msedge.net,microsoft,"{""microsoft"": ""private""}",False,False,False,False,"step 3, "
e-msedge.net,microsoft,"{""microsoft"": ""private""}",False,False,False,False,"step 3, "
e-volution.ai,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
e24.no,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
ea-mct-live.com,microsoft|amazon,"{""microsoft"": ""private"", ""amazon"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
eab.com,amazon|cloudflare,"{""amazon"": ""private"", ""cloudflare"": ""private""}",False,False,True,False,"step 5 (SOA), step 7, "
easee.com,amazon|cloudflare,"{""amazon"": ""private"", ""cloudflare"": ""private""}",False,False,True,False,"step 5 (SOA), step 7, "
easelive.tv,microsoft|netlify,"{""microsoft"": ""private"", ""netlify"": ""third""}",True,False,True,False,"step 3, step 6, "
easy.co.il,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 6, "
easyasdns.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
easybet.co.za,amazon|twitter,"{""amazon"": ""private"", ""twitter"": ""private""}",False,False,True,False,"step 5 (SOA), step 6, "
easybroker.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
easyliveauction.com,microsoft|cloudflare,"{""microsoft"": ""private"", ""cloudflare"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
eb.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
ebayimg.com,yahoo,"{""yahoo"": ""private""}",False,False,False,False,"step 3, "
