domain_name,mname,rname,type,reason
ggpht.com,ns1.google.com,dns-admin.google.com,third,SOA mname points to third party: google
oxylabs.io,brit.ns.cloudflare.com,dns.cloudflare.com,third,SOA mname points to third party: brit
amazon.dev,ns-729.awsdns-27.net,awsdns-hostmaster.amazon.com,third,SOA mname points to third party: awsdns
linkedin.com,ns1-42.azure-dns.com,hostmaster.linkedin.com,third,SOA mname points to third party: azure
windows.net,ns1-39.azure-dns.com,azuredns-hostmaster.microsoft.com,third,SOA mname points to third party: azure
unity3d.com,use4.akam.net,hostmaster.akamai.com,third,SOA mname points to third party: use
microsoftonline.com,ns1-38.azure-dns.com,msnhst.microsoft.com,third,SOA mname points to third party: azure
a2z.com,dns-external-route53.us-east-1.amazonaws.com,root.amazon.com,third,SOA mname points to third party: amazonaws
adtrafficquality.google,ns1.google.com,dns-admin.google.com,third,SOA mname points to third party: google
xiaomi.com,ns3.dnsv5.com,enterprise3dnsadmin.dnspod.com,third,SOA mname points to third party: dnsv
playstation.net,ns00.playstation.net,root.ns00.playstation.net,private,SOA mname and rname both match domain
skype.com,ns1-205.azure-dns.com,azuredns-hostmaster.microsoft.com,third,SOA mname points to third party: azure
rubiconproject.com,ns-644.awsdns-16.net,awsdns-hostmaster.amazon.com,third,SOA mname points to third party: awsdns
capcutapi.com,a1-156.akam.net,hostmaster.capcutapi.com,third,SOA mname points to third party: akam
vungle.com,vungle.com,root.vungle.com,private,SOA mname and rname both match domain
msftconnecttest.com,ns1-32.azure-dns.com,azuredns-hostmaster.microsoft.com,third,SOA mname points to third party: azure
taboola.com,dns1.p05.nsone.net,hostmaster.nsone.net,third,SOA mname points to third party: nsone
windowsupdate.com,ns1-205.azure-dns.com,azuredns-hostmaster.microsoft.com,third,SOA mname points to third party: azure
digicert.com,ns20.digicertdns.com,dns.digicertdns.com,third,SOA mname points to third party: digicertdns
gmail.com,ns1.google.com,dns-admin.google.com,third,SOA mname points to third party: google
cloud.microsoft,ns1-33.azure-dns.com,azuredns-hostmaster.microsoft.com,third,SOA mname points to third party: azure
qq.com,ns1.qq.com,webmaster.qq.com,private,SOA mname and rname both match domain
tiktok.com,a9-66.akam.net,hostmaster.akamai.com,third,SOA mname points to third party: akam
aws.dev,ns-1918.awsdns-47.co.uk,awsdns-hostmaster.amazon.com,third,SOA mname points to third party: awsdns
miui.com,ns3.dnsv5.com,enterprise3dnsadmin.dnspod.com,third,SOA mname points to third party: dnsv
cdn-apple.com,ns-ext-prod.jackfruit.apple.com,dnscontact.apple.com,third,SOA mname points to third party: jackfruit
pubmatic.com,dns1.p01.nsone.net,hostmaster.nsone.net,third,SOA mname points to third party: nsone
adsrvr.org,dns1.p08.nsone.net,hostmaster.nsone.net,third,SOA mname points to third party: nsone
avast.com,a1-182.akam.net,hostmaster.avast.com,third,SOA mname points to third party: akam
avsxappcaptiveportal.com,ns-1205.awsdns-22.org,awsdns-hostmaster.amazon.com,third,SOA mname points to third party: awsdns
android.com,ns1.google.com,dns-admin.google.com,third,SOA mname points to third party: google
reddit.com,ns-557.awsdns-05.net,awsdns-hostmaster.amazon.com,third,SOA mname points to third party: awsdns
chirpbooks.com,ns-1378.awsdns-44.org,awsdns-hostmaster.amazon.com,third,SOA mname points to third party: awsdns
